observation_id,true_label,novelty_score
153,Ball Fault,0.9257787
154,Ball Fault,0.68919814
155,Ball Fault,0.8853545
156,Ball Fault,0.323393
157,Ball Fault,0.17362492
158,Ball Fault,0.41616964
159,Ball Fault,0.5553347
160,Ball Fault,0.6500994
161,Ball Fault,0.9019218
162,Ball Fault,0.46653414
163,Ball Fault,0.9098741
164,Ball Fault,0.5884692
165,Ball Fault,0.6865474
166,Ball Fault,0.79257786
167,Ball Fault,0.8257124
168,Ball Fault,0.93373096
169,Ball Fault,0.6865474
170,Ball Fault,0.42876077
171,Ball Fault,0.92113984
172,Ball Fault,0.6865474
173,Ball Fault,0.54009277
174,Inner Race Fault,0.92710406
175,Inner Race Fault,0.5089463
176,Inner Race Fault,0.8740888
177,Inner Race Fault,0.8952949
178,Inner Race Fault,0.5626243
179,Inner Race Fault,0.4459907
180,Inner Race Fault,0.57786614
181,Inner Race Fault,0.740888
182,Inner Race Fault,0.38303512
183,Inner Race Fault,0.6931743
184,Inner Race Fault,0.90457255
185,Inner Race Fault,0.60371107
186,Inner Race Fault,1.0
187,Inner Race Fault,0.13518886
188,Inner Race Fault,0.9383698
189,Inner Race Fault,0.5420808
190,Inner Race Fault,0.40424123
191,Inner Race Fault,0.79390323
192,Inner Race Fault,0.58383036
193,Inner Race Fault,0.31809145
194,Inner Race Fault,0.7011266
195,Inner Race Fault,0.3783963
196,Inner Race Fault,0.77932405
197,Inner Race Fault,0.56792575
198,Inner Race Fault,0.4327369
199,Inner Race Fault,0.9602386
200,Inner Race Fault,0.952949
201,Inner Race Fault,1.0
202,Inner Race Fault,0.20212062
203,Inner Race Fault,0.7899271
204,Inner Race Fault,0.7011266
205,Inner Race Fault,0.39695162
206,Inner Race Fault,0.32074222
207,Inner Race Fault,0.9324056
208,Inner Race Fault,0.9363817
209,Inner Race Fault,0.45990723
210,Inner Race Fault,0.45062956
211,Inner Race Fault,0.9562624
212,Inner Race Fault,0.99602383
213,Inner Race Fault,0.9085487
214,Inner Race Fault,0.6600398
215,Inner Race Fault,0.46056992
216,Inner Race Fault,0.9019218
217,Inner Race Fault,0.7137177
218,Inner Race Fault,0.80649436
219,Inner Race Fault,0.9019218
220,Inner Race Fault,0.9430086
221,Inner Race Fault,0.9456594
222,Inner Race Fault,0.3280318
223,Inner Race Fault,0.72299534
224,Inner Race Fault,0.75944334
225,Inner Race Fault,0.4950298
226,Inner Race Fault,0.6971504
227,Inner Race Fault,0.6640159
228,Inner Race Fault,0.89396954
229,Inner Race Fault,0.9151756
230,Inner Race Fault,0.72299534
231,Inner Race Fault,0.9589132
232,Inner Race Fault,0.52352554
233,Inner Race Fault,1.0
234,Inner Race Fault,0.9151756
235,Inner Race Fault,0.12657389
236,Inner Race Fault,0.89330685
237,Inner Race Fault,0.9854208
238,Inner Race Fault,0.49834326
239,Inner Race Fault,0.42809808
240,Inner Race Fault,0.27700463
241,Inner Race Fault,0.6998012
242,Inner Race Fault,0.6149768
243,Inner Race Fault,0.35851556
244,Inner Race Fault,0.49436712
245,Inner Race Fault,0.79390323
246,Inner Race Fault,0.94102055
247,Inner Race Fault,0.33863485
248,Inner Race Fault,0.9330683
249,Inner Race Fault,0.5387674
250,Inner Race Fault,0.8959576
251,Inner Race Fault,0.6991385
252,Inner Race Fault,0.64479786
253,Inner Race Fault,0.92710406
254,Inner Race Fault,0.63220674
255,Inner Race Fault,0.41616964
256,Inner Race Fault,0.434725
257,Inner Race Fault,0.9701789
258,Inner Race Fault,0.63817096
259,Inner Race Fault,0.9940358
260,Inner Race Fault,0.40954274
261,Inner Race Fault,0.7919152
262,Inner Race Fault,0.6865474
263,Inner Race Fault,0.6368456
264,Inner Race Fault,0.6302187
265,Inner Race Fault,0.90656066
266,Inner Race Fault,0.9569251
267,Inner Race Fault,0.9728297
268,Inner Race Fault,0.36050364
269,Inner Race Fault,0.7541418
270,Inner Race Fault,1.0
271,Inner Race Fault,0.62690526
272,Inner Race Fault,0.8946322
273,Inner Race Fault,0.50762093
274,Inner Race Fault,0.4824387
275,Inner Race Fault,0.20212062
276,Inner Race Fault,0.31676608
277,Inner Race Fault,0.51424783
278,Inner Race Fault,0.89330685
279,Inner Race Fault,0.97813123
280,Inner Race Fault,0.44665343
281,Inner Race Fault,0.88469183
282,Inner Race Fault,0.80053014
283,Inner Race Fault,0.5818423
284,Inner Race Fault,0.61895293
285,Inner Race Fault,0.51623595
286,Inner Race Fault,0.9622266
287,Inner Race Fault,0.8489066
288,Inner Race Fault,0.4632207
289,Inner Race Fault,0.9589132
290,Outer Race Fault,0.10735586
291,Outer Race Fault,0.028495692
292,Outer Race Fault,0.1119947
293,Outer Race Fault,0.019218026
294,Outer Race Fault,0.9582505
295,Outer Race Fault,0.6706428
296,Outer Race Fault,0.008614977
297,Outer Race Fault,0.20808482
298,Outer Race Fault,0.24453281
299,Outer Race Fault,0.047051027
300,Outer Race Fault,0.105367795
301,Outer Race Fault,0.22995362
302,Outer Race Fault,0.40225315
303,Outer Race Fault,0.022531478
304,Outer Race Fault,0.056328695
305,Outer Race Fault,0.99734926
306,Outer Race Fault,0.13585156
307,Outer Race Fault,0.03843605
308,Outer Race Fault,0.119284295
309,Outer Race Fault,0.2577866
310,Outer Race Fault,0.00066269055
311,Outer Race Fault,0.25314778
312,Outer Race Fault,0.05367793
313,Outer Race Fault,0.02385686
314,Outer Race Fault,0.82107353
315,Outer Race Fault,0.1610338
316,Outer Race Fault,0.48508945
317,Outer Race Fault,0.053015243
318,Outer Race Fault,0.6196156
319,Outer Race Fault,0.13386348
320,Outer Race Fault,0.0053015244
321,Outer Race Fault,0.080185555
322,Outer Race Fault,0.5089463
323,Outer Race Fault,0.66865474
324,Outer Race Fault,0.08614977
325,Outer Race Fault,0.26110005
326,Outer Race Fault,0.35917827
327,Outer Race Fault,0.08747515
328,Outer Race Fault,0.14247847
329,Outer Race Fault,0.81577206
330,Outer Race Fault,0.06958251
331,Outer Race Fault,0.75878066
332,Outer Race Fault,0.31742877
333,Outer Race Fault,0.027170312
334,Outer Race Fault,0.20543407
335,Outer Race Fault,0.20477137
336,Outer Race Fault,0.25447315
337,Outer Race Fault,0.1047051
338,Outer Race Fault,0.0046388335
339,Outer Race Fault,0.09211398
340,Outer Race Fault,0.03909874
341,Outer Race Fault,0.0046388335
342,Outer Race Fault,0.060967527
343,Outer Race Fault,0.1404904
344,Outer Race Fault,0.053015243
345,Outer Race Fault,0.07819748
346,Outer Race Fault,0.0490391
347,Outer Race Fault,0.033797216
348,Outer Race Fault,0.20212062
349,Outer Race Fault,0.08151093
350,Outer Race Fault,0.8316766
351,Outer Race Fault,0.02385686
352,Outer Race Fault,0.6156395
353,Outer Race Fault,0.25513586
354,Outer Race Fault,0.7508284
355,Outer Race Fault,0.3432737
356,Outer Race Fault,0.13386348
357,Outer Race Fault,0.3353214
358,Outer Race Fault,0.047051027
359,Outer Race Fault,0.38104704
360,Outer Race Fault,0.14247847
361,Outer Race Fault,0.26110005
362,Outer Race Fault,0.22862823
363,Outer Race Fault,0.20808482
364,Outer Race Fault,0.06958251
365,Outer Race Fault,0.36249173
366,Outer Race Fault,0.3777336
367,Outer Race Fault,0.14844267
368,Outer Race Fault,0.6003976
369,Outer Race Fault,0.13916501
370,Outer Race Fault,0.03644798
371,Outer Race Fault,0.5619616
372,Outer Race Fault,0.060967527
373,Outer Race Fault,0.6262425
374,Outer Race Fault,0.033797216
375,Outer Race Fault,0.20477137
376,Outer Race Fault,0.0490391
377,Outer Race Fault,0.13518886
378,Outer Race Fault,0.713055
379,Outer Race Fault,0.043737575
380,Outer Race Fault,0.6666667
381,Outer Race Fault,0.08151093
382,Outer Race Fault,0.20145792
383,Outer Race Fault,0.102717035
384,Outer Race Fault,0.13187541
385,Outer Race Fault,0.24320742
386,Outer Race Fault,0.06825712
387,Outer Race Fault,0.3717694
388,Outer Race Fault,0.17097415
389,Outer Race Fault,0.091451295
390,Outer Race Fault,0.12988734
391,Outer Race Fault,0.4691849
392,Outer Race Fault,0.66865474
393,Outer Race Fault,0.0490391
394,Outer Race Fault,0.7905898
395,Outer Race Fault,0.4618953
396,Outer Race Fault,0.35785288
397,Outer Race Fault,0.5215374
398,Outer Race Fault,0.28164348
399,Outer Race Fault,0.29025844
400,Outer Race Fault,0.33929756
401,Outer Race Fault,0.6799205
402,Outer Race Fault,0.34062293
403,Outer Race Fault,0.26043737
404,Outer Race Fault,0.23856859
405,Outer Race Fault,0.99867463
