timestamp,novelty,uncertainty,task_relevance,temporal_importance,resource_cost,scenario
2026-08-14T00:00:22Z,0.0938,0.0641,0.0637,0.1056,0.1667,Scenario A: Normal / Low Info
2026-08-14T00:00:23Z,0.105,0.1052,0.1242,0.1227,0.1796,Scenario A: Normal / Low Info
2026-08-14T00:00:24Z,0.1184,0.0898,0.0586,0.1427,0.2075,Scenario A: Normal / Low Info
2026-08-14T00:00:25Z,0.1678,0.0866,0.1324,0.1053,0.284,Scenario A: Normal / Low Info
2026-08-14T00:00:26Z,0.08,0.196,0.1162,0.1194,0.1693,Scenario A: Normal / Low Info
2026-08-14T00:00:27Z,0.1271,0.109,0.1832,0.1621,0.1694,Scenario A: Normal / Low Info
2026-08-14T00:00:28Z,0.1389,0.1838,0.1026,0.0555,0.2475,Scenario A: Normal / Low Info
2026-08-14T00:00:29Z,0.057,0.1447,0.0676,0.0879,0.1904,Scenario A: Normal / Low Info
2026-08-14T00:00:30Z,0.1411,0.1692,0.0714,0.157,0.1449,Scenario A: Normal / Low Info
2026-08-14T00:00:31Z,0.0756,0.1254,0.1642,0.1843,0.1905,Scenario A: Normal / Low Info
2026-08-14T00:00:32Z,0.0598,0.1365,0.1427,0.1268,0.1282,Scenario A: Normal / Low Info
2026-08-14T00:00:33Z,0.1923,0.1239,0.0652,0.1298,0.1353,Scenario A: Normal / Low Info
2026-08-14T00:00:34Z,0.1948,0.0793,0.0626,0.0661,0.1997,Scenario A: Normal / Low Info
2026-08-14T00:00:35Z,0.1713,0.1584,0.1551,0.1171,0.1838,Scenario A: Normal / Low Info
2026-08-14T00:00:36Z,0.0957,0.0921,0.0609,0.1299,0.283,Scenario A: Normal / Low Info
2026-08-14T00:00:37Z,0.0647,0.0536,0.1733,0.0864,0.1725,Scenario A: Normal / Low Info
2026-08-14T00:00:38Z,0.1526,0.1468,0.1559,0.0904,0.2161,Scenario A: Normal / Low Info
2026-08-14T00:00:39Z,0.116,0.0766,0.0622,0.1066,0.2265,Scenario A: Normal / Low Info
2026-08-14T00:00:40Z,0.0683,0.1911,0.0627,0.053,0.1026,Scenario A: Normal / Low Info
2026-08-14T00:00:41Z,0.1243,0.1931,0.198,0.0983,0.2327,Scenario A: Normal / Low Info
2026-08-14T00:00:42Z,0.0552,0.1872,0.1061,0.0817,0.1356,Scenario A: Normal / Low Info
2026-08-14T00:00:43Z,0.1864,0.1055,0.1056,0.0991,0.2922,Scenario A: Normal / Low Info
2026-08-14T00:00:44Z,0.0888,0.0523,0.1719,0.068,0.1297,Scenario A: Normal / Low Info
2026-08-14T00:00:45Z,0.1494,0.1892,0.1921,0.1836,0.1829,Scenario A: Normal / Low Info
2026-08-14T00:00:46Z,0.0968,0.1142,0.1979,0.139,0.1171,Scenario A: Normal / Low Info
2026-08-14T00:00:47Z,0.128,0.195,0.163,0.1519,0.2994,Scenario A: Normal / Low Info
2026-08-14T00:00:48Z,0.132,0.1945,0.1064,0.1684,0.2004,Scenario A: Normal / Low Info
2026-08-14T00:00:49Z,0.0777,0.178,0.0625,0.1248,0.2191,Scenario A: Normal / Low Info
2026-08-14T00:00:50Z,0.1954,0.0942,0.1666,0.063,0.1134,Scenario A: Normal / Low Info
2026-08-14T00:00:51Z,0.1663,0.1078,0.1338,0.1306,0.25,Scenario A: Normal / Low Info
2026-08-14T00:00:52Z,0.1909,0.1777,0.1136,0.138,0.142,Scenario A: Normal / Low Info
2026-08-14T00:00:53Z,0.1842,0.0975,0.186,0.1618,0.2796,Scenario A: Normal / Low Info
2026-08-14T00:00:54Z,0.1397,0.0754,0.0667,0.1147,0.141,Scenario A: Normal / Low Info
2026-08-14T00:00:55Z,0.1883,0.1335,0.1239,0.0691,0.1381,Scenario A: Normal / Low Info
2026-08-14T00:00:56Z,0.0633,0.1904,0.0517,0.0926,0.1073,Scenario A: Normal / Low Info
2026-08-14T00:00:57Z,0.0794,0.1544,0.1203,0.1045,0.1944,Scenario A: Normal / Low Info
2026-08-14T00:00:58Z,0.0568,0.1355,0.0584,0.1469,0.213,Scenario A: Normal / Low Info
2026-08-14T00:00:59Z,0.0988,0.0646,0.0678,0.1356,0.1131,Scenario A: Normal / Low Info
2026-08-14T00:01:00Z,0.1083,0.1423,0.0676,0.1034,0.2551,Scenario A: Normal / Low Info
2026-08-14T00:01:01Z,0.0907,0.1985,0.1474,0.198,0.1907,Scenario A: Normal / Low Info
2026-08-14T00:01:02Z,0.1743,0.071,0.1619,0.1409,0.2049,Scenario A: Normal / Low Info
2026-08-14T00:01:03Z,0.1035,0.1277,0.1375,0.0856,0.1882,Scenario A: Normal / Low Info
2026-08-14T00:01:04Z,0.0921,0.1816,0.1943,0.0653,0.1802,Scenario A: Normal / Low Info
2026-08-14T00:01:05Z,0.1314,0.1611,0.1062,0.0729,0.2119,Scenario A: Normal / Low Info
2026-08-14T00:01:06Z,0.0711,0.1546,0.0929,0.0869,0.131,Scenario A: Normal / Low Info
2026-08-14T00:01:07Z,0.1703,0.1554,0.1803,0.0741,0.1364,Scenario A: Normal / Low Info
2026-08-14T00:01:08Z,0.0612,0.1039,0.0835,0.078,0.2724,Scenario A: Normal / Low Info
2026-08-14T00:01:09Z,0.198,0.094,0.1945,0.0928,0.2892,Scenario A: Normal / Low Info
2026-08-14T00:01:10Z,0.1658,0.1714,0.0518,0.076,0.1747,Scenario A: Normal / Low Info
2026-08-14T00:01:11Z,0.0798,0.1715,0.1955,0.1845,0.1541,Scenario A: Normal / Low Info
2026-08-14T00:01:12Z,0.0508,0.1801,0.0565,0.062,0.2288,Scenario A: Normal / Low Info
2026-08-14T00:01:13Z,0.1723,0.187,0.1837,0.1287,0.1817,Scenario A: Normal / Low Info
2026-08-14T00:01:14Z,0.156,0.1267,0.1292,0.1116,0.1051,Scenario A: Normal / Low Info
2026-08-14T00:01:15Z,0.1594,0.1252,0.1989,0.1974,0.1312,Scenario A: Normal / Low Info
2026-08-14T00:01:16Z,0.1657,0.1697,0.0611,0.0668,0.2432,Scenario A: Normal / Low Info
2026-08-14T00:01:17Z,0.0611,0.1475,0.1331,0.1097,0.2318,Scenario A: Normal / Low Info
2026-08-14T00:01:18Z,0.1038,0.1553,0.1954,0.1954,0.1054,Scenario A: Normal / Low Info
2026-08-14T00:01:19Z,0.0674,0.1694,0.1285,0.1798,0.1444,Scenario A: Normal / Low Info
2026-08-14T00:01:20Z,0.1795,0.1835,0.1444,0.1726,0.1462,Scenario A: Normal / Low Info
2026-08-14T00:01:21Z,0.1435,0.1007,0.1544,0.0887,0.2344,Scenario A: Normal / Low Info
2026-08-14T00:01:22Z,0.0996,0.1063,0.1182,0.0756,0.1039,Scenario A: Normal / Low Info
2026-08-14T00:01:23Z,0.0595,0.0641,0.1441,0.1503,0.1208,Scenario A: Normal / Low Info
2026-08-14T00:01:24Z,0.0966,0.1367,0.1376,0.1894,0.26,Scenario A: Normal / Low Info
2026-08-14T00:01:25Z,0.0988,0.0554,0.1852,0.1335,0.1357,Scenario A: Normal / Low Info
2026-08-14T00:01:26Z,0.1594,0.1198,0.0568,0.1357,0.2305,Scenario A: Normal / Low Info
2026-08-14T00:01:27Z,0.1456,0.1314,0.0921,0.092,0.1476,Scenario A: Normal / Low Info
2026-08-14T00:01:28Z,0.1831,0.093,0.1926,0.1654,0.1199,Scenario A: Normal / Low Info
2026-08-14T00:01:29Z,0.1208,0.1386,0.1835,0.0781,0.1486,Scenario A: Normal / Low Info
2026-08-14T00:01:30Z,0.0679,0.0546,0.1183,0.0986,0.2445,Scenario A: Normal / Low Info
2026-08-14T00:01:31Z,0.157,0.0556,0.143,0.1138,0.2711,Scenario A: Normal / Low Info
2026-08-14T00:01:32Z,0.1641,0.1734,0.0916,0.1261,0.266,Scenario A: Normal / Low Info
2026-08-14T00:01:33Z,0.1342,0.104,0.0782,0.0864,0.1794,Scenario A: Normal / Low Info
2026-08-14T00:01:34Z,0.1656,0.0691,0.1196,0.0672,0.2336,Scenario A: Normal / Low Info
2026-08-14T00:01:35Z,0.1241,0.1283,0.103,0.1416,0.141,Scenario A: Normal / Low Info
2026-08-14T00:01:36Z,0.1284,0.1655,0.1375,0.0933,0.1586,Scenario A: Normal / Low Info
2026-08-14T00:01:37Z,0.1141,0.0824,0.0617,0.1372,0.2793,Scenario A: Normal / Low Info
2026-08-14T00:01:38Z,0.0538,0.1434,0.1962,0.0732,0.1026,Scenario A: Normal / Low Info
2026-08-14T00:01:39Z,0.0662,0.0628,0.1979,0.1222,0.1171,Scenario A: Normal / Low Info
2026-08-14T00:01:40Z,0.0547,0.0578,0.1547,0.1299,0.1416,Scenario A: Normal / Low Info
2026-08-14T00:01:41Z,0.1455,0.1297,0.1304,0.0578,0.1053,Scenario A: Normal / Low Info
2026-08-14T00:01:42Z,0.0972,0.1311,0.0964,0.1005,0.1363,Scenario A: Normal / Low Info
2026-08-14T00:01:43Z,0.1263,0.1456,0.1721,0.0702,0.2166,Scenario A: Normal / Low Info
2026-08-14T00:01:44Z,0.1861,0.1589,0.1527,0.0595,0.1843,Scenario A: Normal / Low Info
2026-08-14T00:01:45Z,0.0874,0.1964,0.0744,0.1985,0.2785,Scenario A: Normal / Low Info
2026-08-14T00:01:46Z,0.1116,0.1274,0.1866,0.0984,0.2635,Scenario A: Normal / Low Info
2026-08-14T00:01:47Z,0.1633,0.0984,0.1734,0.1715,0.1684,Scenario A: Normal / Low Info
2026-08-14T00:01:48Z,0.0843,0.1693,0.1925,0.0882,0.1519,Scenario A: Normal / Low Info
2026-08-14T00:01:49Z,0.0615,0.0906,0.1589,0.1522,0.1759,Scenario A: Normal / Low Info
2026-08-14T00:01:50Z,0.0935,0.1158,0.142,0.164,0.2181,Scenario A: Normal / Low Info
2026-08-14T00:01:51Z,0.0742,0.0618,0.1127,0.1393,0.1536,Scenario A: Normal / Low Info
2026-08-14T00:01:52Z,0.1895,0.0538,0.1899,0.1207,0.2248,Scenario A: Normal / Low Info
2026-08-14T00:01:53Z,0.1712,0.1944,0.1799,0.1118,0.1819,Scenario A: Normal / Low Info
2026-08-14T00:01:54Z,0.145,0.1754,0.0568,0.1023,0.2104,Scenario A: Normal / Low Info
2026-08-14T00:01:55Z,0.1807,0.1544,0.054,0.1894,0.1872,Scenario A: Normal / Low Info
2026-08-14T00:01:56Z,0.1706,0.1113,0.1065,0.1746,0.1589,Scenario A: Normal / Low Info
2026-08-14T00:01:57Z,0.078,0.076,0.1716,0.1948,0.2897,Scenario A: Normal / Low Info
2026-08-14T00:01:58Z,0.1839,0.0735,0.1981,0.0686,0.2527,Scenario A: Normal / Low Info
2026-08-14T00:01:59Z,0.1309,0.0875,0.0726,0.1596,0.128,Scenario A: Normal / Low Info
2026-08-14T00:02:00Z,0.1711,0.1324,0.1391,0.1908,0.2737,Scenario A: Normal / Low Info
2026-08-14T00:02:01Z,0.1844,0.1572,0.1071,0.0772,0.1975,Scenario A: Normal / Low Info
2026-08-14T00:02:02Z,0.0977,0.149,0.1955,0.06,0.2789,Scenario A: Normal / Low Info
2026-08-14T00:02:03Z,0.0665,0.092,0.1763,0.1612,0.26,Scenario A: Normal / Low Info
2026-08-14T00:02:04Z,0.0842,0.1932,0.1757,0.1362,0.185,Scenario A: Normal / Low Info
2026-08-14T00:02:05Z,0.1141,0.1607,0.1203,0.1763,0.1045,Scenario A: Normal / Low Info
2026-08-14T00:02:06Z,0.1727,0.1332,0.1122,0.071,0.1537,Scenario A: Normal / Low Info
2026-08-14T00:02:07Z,0.1791,0.1418,0.091,0.1693,0.2083,Scenario A: Normal / Low Info
2026-08-14T00:02:08Z,0.051,0.1129,0.0585,0.0802,0.2267,Scenario A: Normal / Low Info
2026-08-14T00:02:09Z,0.1266,0.0872,0.1797,0.0745,0.1516,Scenario A: Normal / Low Info
2026-08-14T00:02:10Z,0.1126,0.1034,0.1719,0.0746,0.1279,Scenario A: Normal / Low Info
2026-08-14T00:02:11Z,0.0833,0.1637,0.2,0.1722,0.267,Scenario A: Normal / Low Info
2026-08-14T00:02:12Z,0.068,0.0522,0.1995,0.1498,0.2969,Scenario A: Normal / Low Info
2026-08-14T00:02:13Z,0.1006,0.0674,0.1333,0.1285,0.2051,Scenario A: Normal / Low Info
2026-08-14T00:02:14Z,0.1914,0.0569,0.1653,0.1038,0.1343,Scenario A: Normal / Low Info
2026-08-14T00:02:15Z,0.0985,0.0561,0.1917,0.1816,0.1545,Scenario A: Normal / Low Info
2026-08-14T00:02:16Z,0.1278,0.1783,0.1774,0.1089,0.1037,Scenario A: Normal / Low Info
2026-08-14T00:02:17Z,0.1555,0.1555,0.0871,0.1725,0.2829,Scenario A: Normal / Low Info
2026-08-14T00:02:18Z,0.1045,0.1211,0.1176,0.1159,0.1236,Scenario A: Normal / Low Info
2026-08-14T00:02:19Z,0.1958,0.0647,0.0694,0.1065,0.2153,Scenario A: Normal / Low Info
2026-08-14T00:02:20Z,0.1944,0.1237,0.1931,0.1194,0.1548,Scenario A: Normal / Low Info
2026-08-14T00:02:21Z,0.0878,0.121,0.1409,0.0952,0.2108,Scenario A: Normal / Low Info
2026-08-14T00:02:22Z,0.1246,0.076,0.0843,0.1621,0.2303,Scenario A: Normal / Low Info
2026-08-14T00:02:23Z,0.0951,0.1151,0.1508,0.1254,0.2659,Scenario A: Normal / Low Info
2026-08-14T00:02:24Z,0.0927,0.1098,0.1427,0.0848,0.1413,Scenario A: Normal / Low Info
2026-08-14T00:02:25Z,0.0555,0.1424,0.1037,0.1849,0.1022,Scenario A: Normal / Low Info
2026-08-14T00:02:26Z,0.1414,0.1453,0.067,0.1076,0.1274,Scenario A: Normal / Low Info
2026-08-14T00:02:27Z,0.1254,0.0568,0.1507,0.1315,0.28,Scenario A: Normal / Low Info
2026-08-14T00:02:28Z,0.0577,0.1062,0.128,0.186,0.2748,Scenario A: Normal / Low Info
2026-08-14T00:02:29Z,0.0918,0.1439,0.1658,0.1436,0.2195,Scenario A: Normal / Low Info
2026-08-14T00:02:30Z,0.1862,0.1255,0.128,0.0675,0.2201,Scenario A: Normal / Low Info
2026-08-14T00:02:31Z,0.0859,0.1785,0.1778,0.191,0.233,Scenario A: Normal / Low Info
2026-08-14T00:02:32Z,0.0717,0.1488,0.1328,0.1442,0.1351,Scenario A: Normal / Low Info
2026-08-14T00:02:33Z,0.1234,0.0744,0.1341,0.1002,0.2829,Scenario A: Normal / Low Info
2026-08-14T00:02:34Z,0.1978,0.0606,0.1815,0.0709,0.1838,Scenario A: Normal / Low Info
2026-08-14T00:02:35Z,0.0863,0.1464,0.1105,0.1691,0.1766,Scenario A: Normal / Low Info
2026-08-14T00:02:36Z,0.1508,0.054,0.0701,0.143,0.2038,Scenario A: Normal / Low Info
2026-08-14T00:02:37Z,0.1642,0.1379,0.0543,0.13,0.1094,Scenario A: Normal / Low Info
2026-08-14T00:02:38Z,0.0856,0.191,0.1633,0.1841,0.1333,Scenario A: Normal / Low Info
2026-08-14T00:02:39Z,0.1592,0.1363,0.143,0.1683,0.2476,Scenario A: Normal / Low Info
2026-08-14T00:02:40Z,0.1052,0.1082,0.1556,0.0728,0.1166,Scenario A: Normal / Low Info
2026-08-14T00:02:41Z,0.1448,0.1465,0.0819,0.0968,0.2206,Scenario A: Normal / Low Info
2026-08-14T00:02:42Z,0.145,0.1187,0.0705,0.0873,0.1491,Scenario A: Normal / Low Info
2026-08-14T00:02:43Z,0.1304,0.1318,0.0522,0.1616,0.1779,Scenario A: Normal / Low Info
2026-08-14T00:02:44Z,0.0635,0.1912,0.1026,0.055,0.1577,Scenario A: Normal / Low Info
2026-08-14T00:02:45Z,0.1753,0.1079,0.1385,0.1355,0.1711,Scenario A: Normal / Low Info
2026-08-14T00:02:46Z,0.0981,0.1942,0.1088,0.1644,0.2438,Scenario A: Normal / Low Info
2026-08-14T00:02:47Z,0.078,0.1858,0.1156,0.1815,0.1594,Scenario A: Normal / Low Info
2026-08-14T00:02:48Z,0.0561,0.0794,0.1856,0.1013,0.2133,Scenario A: Normal / Low Info
2026-08-14T00:02:49Z,0.1386,0.0604,0.1022,0.1732,0.1952,Scenario A: Normal / Low Info
2026-08-14T00:02:50Z,0.1516,0.0651,0.1271,0.0666,0.2327,Scenario A: Normal / Low Info
2026-08-14T00:02:51Z,0.0525,0.0527,0.1675,0.177,0.2874,Scenario A: Normal / Low Info
2026-08-14T00:02:52Z,0.1268,0.0642,0.1095,0.0691,0.2465,Scenario A: Normal / Low Info
2026-08-14T00:02:53Z,0.084,0.1525,0.1433,0.1096,0.143,Scenario A: Normal / Low Info
2026-08-14T00:02:54Z,0.1468,0.0607,0.1794,0.1696,0.1062,Scenario A: Normal / Low Info
2026-08-14T00:02:55Z,0.0762,0.0978,0.1924,0.0725,0.1525,Scenario A: Normal / Low Info
2026-08-14T00:02:56Z,0.1536,0.1767,0.0721,0.0844,0.219,Scenario A: Normal / Low Info
2026-08-14T00:02:57Z,0.108,0.0535,0.189,0.1583,0.1103,Scenario A: Normal / Low Info
2026-08-14T00:02:58Z,0.1905,0.1722,0.1238,0.158,0.1993,Scenario A: Normal / Low Info
2026-08-14T00:02:59Z,0.0706,0.0923,0.0887,0.1462,0.2194,Scenario A: Normal / Low Info
2026-08-14T00:03:00Z,0.1012,0.0677,0.1189,0.1541,0.1668,Scenario A: Normal / Low Info
2026-08-14T00:03:01Z,0.067,0.1545,0.197,0.1314,0.2542,Scenario A: Normal / Low Info
2026-08-14T00:03:02Z,0.1887,0.1443,0.1239,0.0878,0.1213,Scenario A: Normal / Low Info
2026-08-14T00:03:03Z,0.1816,0.1816,0.0993,0.1019,0.115,Scenario A: Normal / Low Info
2026-08-14T00:03:04Z,0.0887,0.1603,0.145,0.0772,0.2456,Scenario A: Normal / Low Info
2026-08-14T00:03:05Z,0.149,0.1705,0.086,0.1863,0.1991,Scenario A: Normal / Low Info
2026-08-14T00:03:06Z,0.1726,0.0923,0.0614,0.1375,0.2377,Scenario A: Normal / Low Info
2026-08-14T00:03:07Z,0.1333,0.0766,0.0693,0.1101,0.187,Scenario A: Normal / Low Info
2026-08-14T00:03:08Z,0.1294,0.1626,0.0692,0.1193,0.1493,Scenario A: Normal / Low Info
2026-08-14T00:03:09Z,0.0863,0.171,0.0728,0.1921,0.2638,Scenario A: Normal / Low Info
2026-08-14T00:03:10Z,0.064,0.1986,0.0708,0.073,0.2599,Scenario A: Normal / Low Info
2026-08-14T00:03:11Z,0.1846,0.1119,0.1461,0.1379,0.2389,Scenario A: Normal / Low Info
2026-08-14T00:03:12Z,0.1851,0.1058,0.0773,0.1259,0.1544,Scenario A: Normal / Low Info
2026-08-14T00:03:13Z,0.145,0.1665,0.1019,0.1417,0.218,Scenario A: Normal / Low Info
2026-08-14T00:03:14Z,0.1009,0.1011,0.1845,0.0527,0.1722,Scenario A: Normal / Low Info
2026-08-14T00:03:15Z,0.1024,0.1896,0.1211,0.1808,0.1183,Scenario A: Normal / Low Info
2026-08-14T00:03:16Z,0.1589,0.1788,0.1501,0.1898,0.2835,Scenario A: Normal / Low Info
2026-08-14T00:03:17Z,0.1846,0.1143,0.0758,0.1348,0.1274,Scenario A: Normal / Low Info
2026-08-14T00:03:18Z,0.1831,0.1626,0.0788,0.1545,0.29,Scenario A: Normal / Low Info
2026-08-14T00:03:19Z,0.167,0.1632,0.0561,0.1884,0.1892,Scenario A: Normal / Low Info
2026-08-14T00:03:20Z,0.787,0.7771,0.7563,0.8494,0.2384,Scenario B: Sudden Important Event
2026-08-14T00:03:21Z,0.8584,0.8093,0.9372,0.8736,0.2647,Scenario B: Sudden Important Event
2026-08-14T00:03:22Z,0.9246,0.7744,0.7604,0.9238,0.2453,Scenario B: Sudden Important Event
2026-08-14T00:03:23Z,0.8964,0.77,0.8583,0.8641,0.271,Scenario B: Sudden Important Event
2026-08-14T00:03:24Z,0.9113,0.7547,0.8918,0.7561,0.2139,Scenario B: Sudden Important Event
2026-08-14T00:03:25Z,0.8818,0.7882,0.9242,0.9362,0.3038,Scenario B: Sudden Important Event
2026-08-14T00:03:26Z,0.8885,0.6397,0.8928,0.8879,0.2135,Scenario B: Sudden Important Event
2026-08-14T00:03:27Z,0.9198,0.8202,0.9103,0.8853,0.3601,Scenario B: Sudden Important Event
2026-08-14T00:03:28Z,0.7999,0.818,0.8179,0.7931,0.2467,Scenario B: Sudden Important Event
2026-08-14T00:03:29Z,0.8479,0.6073,0.913,0.8818,0.308,Scenario B: Sudden Important Event
2026-08-14T00:03:30Z,0.7942,0.8065,0.766,0.8288,0.376,Scenario B: Sudden Important Event
2026-08-14T00:03:31Z,0.9475,0.6322,0.929,0.8802,0.3302,Scenario B: Sudden Important Event
2026-08-14T00:03:32Z,0.9388,0.6838,0.8595,0.7713,0.3066,Scenario B: Sudden Important Event
2026-08-14T00:03:33Z,0.7579,0.7859,0.9135,0.8816,0.2649,Scenario B: Sudden Important Event
2026-08-14T00:03:34Z,0.8911,0.6402,0.8405,0.9499,0.2666,Scenario B: Sudden Important Event
2026-08-14T00:03:35Z,0.935,0.8045,0.8787,0.7596,0.3339,Scenario B: Sudden Important Event
2026-08-14T00:03:36Z,0.7861,0.808,0.8553,0.9454,0.3988,Scenario B: Sudden Important Event
2026-08-14T00:03:37Z,0.8636,0.7269,0.8963,0.8314,0.3324,Scenario B: Sudden Important Event
2026-08-14T00:03:38Z,0.9331,0.6016,0.7663,0.9242,0.3116,Scenario B: Sudden Important Event
2026-08-14T00:03:39Z,0.7568,0.6718,0.7621,0.9065,0.3461,Scenario B: Sudden Important Event
2026-08-14T00:03:40Z,0.8895,0.7542,0.7994,0.8634,0.293,Scenario B: Sudden Important Event
2026-08-14T00:03:41Z,0.8095,0.8453,0.7819,0.8977,0.212,Scenario B: Sudden Important Event
2026-08-14T00:03:42Z,0.9349,0.758,0.9244,0.9257,0.3125,Scenario B: Sudden Important Event
2026-08-14T00:03:43Z,0.9442,0.665,0.7938,0.8308,0.3915,Scenario B: Sudden Important Event
2026-08-14T00:03:44Z,0.9389,0.7585,0.9452,0.8154,0.2351,Scenario B: Sudden Important Event
2026-08-14T00:03:45Z,0.8448,0.735,0.8174,0.8835,0.338,Scenario B: Sudden Important Event
2026-08-14T00:03:46Z,0.9224,0.795,0.7864,0.9116,0.2402,Scenario B: Sudden Important Event
2026-08-14T00:03:47Z,0.9189,0.6267,0.9079,0.9025,0.3072,Scenario B: Sudden Important Event
2026-08-14T00:03:48Z,0.8138,0.7903,0.8817,0.9096,0.2193,Scenario B: Sudden Important Event
2026-08-14T00:03:49Z,0.9158,0.7353,0.8496,0.8371,0.2901,Scenario B: Sudden Important Event
2026-08-14T00:03:50Z,0.7574,0.8407,0.8611,0.9136,0.3512,Scenario B: Sudden Important Event
2026-08-14T00:03:51Z,0.8693,0.6855,0.8938,0.774,0.2695,Scenario B: Sudden Important Event
2026-08-14T00:03:52Z,0.796,0.7582,0.7957,0.8589,0.333,Scenario B: Sudden Important Event
2026-08-14T00:03:53Z,0.7741,0.833,0.9493,0.7512,0.3591,Scenario B: Sudden Important Event
2026-08-14T00:03:54Z,0.7654,0.6256,0.945,0.8149,0.3854,Scenario B: Sudden Important Event
2026-08-14T00:03:55Z,0.8893,0.8343,0.8801,0.8233,0.2469,Scenario B: Sudden Important Event
2026-08-14T00:03:56Z,0.818,0.772,0.7899,0.8292,0.2799,Scenario B: Sudden Important Event
2026-08-14T00:03:57Z,0.895,0.617,0.886,0.8891,0.2305,Scenario B: Sudden Important Event
2026-08-14T00:03:58Z,0.7631,0.6752,0.7644,0.8277,0.3985,Scenario B: Sudden Important Event
2026-08-14T00:03:59Z,0.8131,0.777,0.7561,0.8397,0.3854,Scenario B: Sudden Important Event
2026-08-14T00:04:00Z,0.8579,0.6168,0.8015,0.7975,0.308,Scenario B: Sudden Important Event
2026-08-14T00:04:01Z,0.9081,0.7455,0.8425,0.8247,0.3684,Scenario B: Sudden Important Event
2026-08-14T00:04:02Z,0.8138,0.6865,0.9237,0.7955,0.3042,Scenario B: Sudden Important Event
2026-08-14T00:04:03Z,0.8752,0.7552,0.8954,0.7646,0.3247,Scenario B: Sudden Important Event
2026-08-14T00:04:04Z,0.9272,0.6114,0.8985,0.8707,0.2178,Scenario B: Sudden Important Event
2026-08-14T00:04:05Z,0.8732,0.8179,0.8351,0.8836,0.3511,Scenario B: Sudden Important Event
2026-08-14T00:04:06Z,0.7966,0.8434,0.8192,0.8739,0.2255,Scenario B: Sudden Important Event
2026-08-14T00:04:07Z,0.7549,0.8422,0.8242,0.8427,0.3652,Scenario B: Sudden Important Event
2026-08-14T00:04:08Z,0.924,0.7874,0.9475,0.826,0.3564,Scenario B: Sudden Important Event
2026-08-14T00:04:09Z,0.7543,0.6325,0.758,0.9227,0.3417,Scenario B: Sudden Important Event
2026-08-14T00:04:10Z,0.9249,0.7896,0.9234,0.8538,0.2072,Scenario B: Sudden Important Event
2026-08-14T00:04:11Z,0.8558,0.6061,0.8657,0.8458,0.2606,Scenario B: Sudden Important Event
2026-08-14T00:04:12Z,0.9378,0.6055,0.8377,0.7551,0.2526,Scenario B: Sudden Important Event
2026-08-14T00:04:13Z,0.9098,0.6809,0.8951,0.8182,0.272,Scenario B: Sudden Important Event
2026-08-14T00:04:14Z,0.9496,0.7222,0.8473,0.826,0.2175,Scenario B: Sudden Important Event
